prefix_s,project_s,targeted_locus_name_s,div_s,organism_an,bioproject_s,biosample_ss,infra_name_ss,other_src_ss,contigs_total_length_l,contigs_count_l,contigs_proteins_count_l,contigs_annotated_s,scaffolds_count_l,scaffolds_proteins_count_l,scaffolds_total_length_l,scaffolds_annotated_s,scaffolds_range_ss,chromosome_range_ss,update_date_dt,create_date_dt
JAGZPU01,WGS,,BCT,Sanguibacteroides justesenii,PRJNA698986,SAMN17801057,isolate: L3_122_000M1_dasL3_122_000M1_concoct_54,"host: Homo sapiens,isolation_source: maternal feces,metagenome_source: human gut metagenome",4189987,94,3307,Yes,0,0,0,No,,,2021-05-17T00:00:00Z,2021-05-17T00:00:00Z
JAGZQJ01,WGS,,BCT,Ruminococcus sp.,PRJNA698986,SAMN17801072,isolate: L2_026_000M1_dasL2_026_000M1_concoct_38_sub,"host: Homo sapiens,isolation_source: maternal feces,metagenome_source: human gut metagenome",2155687,585,2284,Yes,0,0,0,No,,,2021-05-17T00:00:00Z,2021-05-17T00:00:00Z
JAGZQK01,WGS,,BCT,Coprobacillus sp.,PRJNA698986,SAMN17801073,isolate: L2_026_000M1_dasL2_026_000M1_concoct_50,"host: Homo sapiens,isolation_source: maternal feces,metagenome_source: human gut metagenome",2474647,690,2832,Yes,0,0,0,No,,,2021-05-17T00:00:00Z,2021-05-17T00:00:00Z
JAGZQL01,WGS,,BCT,Azospirillum sp.,PRJNA698986,SAMN17801074,isolate: L2_026_000M1_dasL2_026_000M1_concoct_73,"host: Homo sapiens,isolation_source: maternal feces,metagenome_source: human gut metagenome",1782238,59,1740,Yes,0,0,0,No,,,2021-05-17T00:00:00Z,2021-05-17T00:00:00Z
JAGZQM01,WGS,,BCT,Faecalibacterium prausnitzii,PRJNA698986,SAMN17801075,isolate: L2_026_000M1_dasL2_026_000M1_maxbin2.maxbin.040sta_sub,"host: Homo sapiens,isolation_source: maternal feces,metagenome_source: human gut metagenome",1949625,114,1804,Yes,0,0,0,No,,,2021-05-17T00:00:00Z,2021-05-17T00:00:00Z
JAGZQN01,WGS,,BCT,Faecalibacterium prausnitzii,PRJNA698986,SAMN17801076,isolate: L2_026_000M1_dasL2_026_000M1_maxbin2.maxbin.044sta_sub,"host: Homo sapiens,isolation_source: maternal feces,metagenome_source: human gut metagenome",3156728,199,3043,Yes,0,0,0,No,,,2021-05-17T00:00:00Z,2021-05-17T00:00:00Z
JAGZQO01,WGS,,BCT,Collinsella sp.,PRJNA698986,SAMN17801077,isolate: L2_026_000M1_dasL2_026_000M1_metabat.metabat.70,"host: Homo sapiens,isolation_source: maternal feces,metagenome_source: human gut metagenome",2172728,51,1818,Yes,0,0,0,No,,,2021-05-17T00:00:00Z,2021-05-17T00:00:00Z
JAGZRQ01,WGS,,BCT,Faecalibacterium prausnitzii,PRJNA698986,SAMN17801105,isolate: L2_022_000M1_dasL2_022_000M1_concoct_4,"host: Homo sapiens,isolation_source: maternal feces,metagenome_source: human gut metagenome",2809826,64,2547,Yes,0,0,0,No,,,2021-05-17T00:00:00Z,2021-05-17T00:00:00Z
JAGZRZ01,WGS,,BCT,Azospirillum sp.,PRJNA698986,SAMN17801114,isolate: L2_031_000M1_dasL2_031_000M1_concoct_60,"host: Homo sapiens,isolation_source: maternal feces,metagenome_source: human gut metagenome",1795608,59,1767,Yes,0,0,0,No,,,2021-05-17T00:00:00Z,2021-05-17T00:00:00Z
JAGZSG01,WGS,,BCT,Acidaminococcus intestini,PRJNA698986,SAMN17801121,isolate: L2_038_000M1_dasL2_038_000M1_concoct_57,"host: Homo sapiens,isolation_source: maternal feces,metagenome_source: human gut metagenome",2193846,47,1985,Yes,0,0,0,No,,,2021-05-17T00:00:00Z,2021-05-17T00:00:00Z
JAGZSH01,WGS,,BCT,Azospirillum sp.,PRJNA698986,SAMN17801122,isolate: L2_038_000M1_dasL2_038_000M1_concoct_64,"host: Homo sapiens,isolation_source: maternal feces,metagenome_source: human gut metagenome",1766841,57,1744,Yes,0,0,0,No,,,2021-05-17T00:00:00Z,2021-05-17T00:00:00Z
JAGZSI01,WGS,,BCT,Alistipes sp.,PRJNA698986,SAMN17801123,isolate: L2_038_000M1_dasL2_038_000M1_maxbin2.maxbin.021,"host: Homo sapiens,isolation_source: maternal feces,metagenome_source: human gut metagenome",3403423,43,2690,Yes,0,0,0,No,,,2021-05-17T00:00:00Z,2021-05-17T00:00:00Z
JAGZSJ01,WGS,,BCT,Faecalibacterium prausnitzii,PRJNA698986,SAMN17801124,isolate: L2_038_000M1_dasL2_038_000M1_maxbin2.maxbin.064,"host: Homo sapiens,isolation_source: maternal feces,metagenome_source: human gut metagenome",1914875,414,1953,Yes,0,0,0,No,,,2021-05-17T00:00:00Z,2021-05-17T00:00:00Z
JAGZSK01,WGS,,BCT,Paraprevotella clara,PRJNA698986,SAMN17801125,isolate: L2_038_000M1_dasL2_038_000M1_metabat.metabat.33,"host: Homo sapiens,isolation_source: maternal feces,metagenome_source: human gut metagenome",3566012,28,2650,Yes,0,0,0,No,,,2021-05-17T00:00:00Z,2021-05-17T00:00:00Z
JAGZSL01,WGS,,BCT,Oscillibacter sp.,PRJNA698986,SAMN17801126,isolate: L2_038_000M1_dasL2_038_000M1_metabat.metabat.52,"host: Homo sapiens,isolation_source: maternal feces,metagenome_source: human gut metagenome",1788529,59,1698,Yes,0,0,0,No,,,2021-05-17T00:00:00Z,2021-05-17T00:00:00Z
JAGZTL01,WGS,,BCT,Faecalibacterium prausnitzii,PRJNA698986,SAMN17801152,isolate: L2_037_000M1_dasL2_037_000M1_concoct_19_sub,"host: Homo sapiens,isolation_source: maternal feces,metagenome_source: human gut metagenome",2557267,62,2311,Yes,0,0,0,No,,,2021-05-17T00:00:00Z,2021-05-17T00:00:00Z
JAGZTM01,WGS,,BCT,Clostridium sp.,PRJNA698986,SAMN17801153,isolate: L2_037_000M1_dasL2_037_000M1_concoct_51,"host: Homo sapiens,isolation_source: maternal feces,metagenome_source: human gut metagenome",2764491,124,2468,Yes,0,0,0,No,,,2021-05-16T00:00:00Z,2021-05-16T00:00:00Z
JAGZTO01,WGS,,BCT,Prevotella sp.,PRJNA698986,SAMN17801155,isolate: L2_037_000M1_dasL2_037_000M1_concoct_75,"host: Homo sapiens,isolation_source: maternal feces,metagenome_source: human gut metagenome",2697247,109,2108,Yes,0,0,0,No,,,2021-05-16T00:00:00Z,2021-05-16T00:00:00Z
JAGZTP01,WGS,,BCT,Phascolarctobacterium sp.,PRJNA698986,SAMN17801156,isolate: L2_037_000M1_dasL2_037_000M1_concoct_88,"host: Homo sapiens,isolation_source: maternal feces,metagenome_source: human gut metagenome",2261108,24,2063,Yes,0,0,0,No,,,2021-05-16T00:00:00Z,2021-05-16T00:00:00Z
JAGZTQ01,WGS,,BCT,Eubacterium sp.,PRJNA698986,SAMN17801157,isolate: L2_037_000M1_dasL2_037_000M1_concoct_9,"host: Homo sapiens,isolation_source: maternal feces,metagenome_source: human gut metagenome",1862514,38,1714,Yes,0,0,0,No,,,2021-05-16T00:00:00Z,2021-05-16T00:00:00Z
JAGZUA01,WGS,,BCT,Subdoligranulum variabile,PRJNA698986,SAMN17801167,isolate: L2_037_000M1_dasL2_037_000M1_concoct_86,"host: Homo sapiens,isolation_source: maternal feces,metagenome_source: human gut metagenome",2441213,238,2225,Yes,0,0,0,No,,,2021-05-16T00:00:00Z,2021-05-16T00:00:00Z
JAGZUK01,WGS,,BCT,Clostridiales bacterium,PRJNA698986,SAMN17801177,isolate: L1_008_000M1_dasL1_008_000M1_concoct_10_sub,"host: Homo sapiens,isolation_source: maternal feces,metagenome_source: human gut metagenome",3135569,68,2825,Yes,0,0,0,No,,,2021-05-16T00:00:00Z,2021-05-16T00:00:00Z
JAGZUL01,WGS,,BCT,Collinsella sp.,PRJNA698986,SAMN17801178,isolate: L1_008_000M1_dasL1_008_000M1_concoct_25_sub,"host: Homo sapiens,isolation_source: maternal feces,metagenome_source: human gut metagenome",2129666,23,1773,Yes,0,0,0,No,,,2021-05-16T00:00:00Z,2021-05-16T00:00:00Z
JAGZUM01,WGS,,BCT,Clostridiales bacterium,PRJNA698986,SAMN17801179,isolate: L1_008_000M1_dasL1_008_000M1_concoct_39,"host: Homo sapiens,isolation_source: maternal feces,metagenome_source: human gut metagenome",1983216,47,1849,Yes,0,0,0,No,,,2021-05-16T00:00:00Z,2021-05-16T00:00:00Z
JAGZUN01,WGS,,BCT,Ruminococcus sp.,PRJNA698986,SAMN17801180,isolate: L1_008_000M1_dasL1_008_000M1_concoct_47,"host: Homo sapiens,isolation_source: maternal feces,metagenome_source: human gut metagenome",2686471,47,2595,Yes,0,0,0,No,,,2021-05-16T00:00:00Z,2021-05-16T00:00:00Z
JAGZUO01,WGS,,BCT,Clostridiales bacterium,PRJNA698986,SAMN17801181,isolate: L1_008_000M1_dasL1_008_000M1_concoct_51,"host: Homo sapiens,isolation_source: maternal feces,metagenome_source: human gut metagenome",2581332,110,2369,Yes,0,0,0,No,,,2021-05-16T00:00:00Z,2021-05-16T00:00:00Z
JAGZUP01,WGS,,BCT,Firmicutes bacterium,PRJNA698986,SAMN17801182,isolate: L1_008_000M1_dasL1_008_000M1_concoct_56_sub,"host: Homo sapiens,isolation_source: maternal feces,metagenome_source: human gut metagenome",2444186,188,2367,Yes,0,0,0,No,,,2021-05-16T00:00:00Z,2021-05-16T00:00:00Z
JAGZUQ01,WGS,,BCT,Akkermansia sp.,PRJNA698986,SAMN17801183,isolate: L1_008_000M1_dasL1_008_000M1_concoct_60,"host: Homo sapiens,isolation_source: maternal feces,metagenome_source: human gut metagenome",3046576,23,2470,Yes,0,0,0,No,,,2021-05-16T00:00:00Z,2021-05-16T00:00:00Z
JAGZUR01,WGS,,BCT,Methanobrevibacter smithii,PRJNA698986,SAMN17801184,isolate: L1_008_000M1_dasL1_008_000M1_concoct_61,"host: Homo sapiens,isolation_source: maternal feces,metagenome_source: human gut metagenome",1850699,22,1728,Yes,0,0,0,No,,,2021-05-16T00:00:00Z,2021-05-16T00:00:00Z
JAGZUS01,WGS,,BCT,Oscillibacter sp.,PRJNA698986,SAMN17801185,isolate: L1_008_000M1_dasL1_008_000M1_concoct_63_sub,"host: Homo sapiens,isolation_source: maternal feces,metagenome_source: human gut metagenome",2139320,35,1986,Yes,0,0,0,No,,,2021-05-16T00:00:00Z,2021-05-16T00:00:00Z
JAGZUT01,WGS,,BCT,Firmicutes bacterium,PRJNA698986,SAMN17801186,isolate: L1_008_000M1_dasL1_008_000M1_concoct_70,"host: Homo sapiens,isolation_source: maternal feces,metagenome_source: human gut metagenome",1900529,16,1791,Yes,0,0,0,No,,,2021-05-16T00:00:00Z,2021-05-16T00:00:00Z
JAGZUU01,WGS,,BCT,Clostridiales bacterium,PRJNA698986,SAMN17801187,isolate: L1_008_000M1_dasL1_008_000M1_concoct_89,"host: Homo sapiens,isolation_source: maternal feces,metagenome_source: human gut metagenome",2530961,53,1967,Yes,0,0,0,No,,,2021-05-16T00:00:00Z,2021-05-16T00:00:00Z
JAGZUV01,WGS,,BCT,Desulfovibrio sp.,PRJNA698986,SAMN17801188,isolate: L1_008_000M1_dasL1_008_000M1_concoct_91,"host: Homo sapiens,isolation_source: maternal feces,metagenome_source: human gut metagenome",3440595,125,2957,Yes,0,0,0,No,,,2021-05-16T00:00:00Z,2021-05-16T00:00:00Z
JAGZUW01,WGS,,BCT,[Eubacterium] rectale,PRJNA698986,SAMN17801189,isolate: L1_008_000M1_dasL1_008_000M1_maxbin2.maxbin.047sta_sub,"host: Homo sapiens,isolation_source: maternal feces,metagenome_source: human gut metagenome",2158499,657,2094,Yes,0,0,0,No,,,2021-05-16T00:00:00Z,2021-05-16T00:00:00Z
JAGZUX01,WGS,,BCT,Clostridiales bacterium,PRJNA698986,SAMN17801190,isolate: L1_008_000M1_dasL1_008_000M1_maxbin2.maxbin.110sta_sub,"host: Homo sapiens,isolation_source: maternal feces,metagenome_source: human gut metagenome",2527115,756,2547,Yes,0,0,0,No,,,2021-05-16T00:00:00Z,2021-05-16T00:00:00Z
JAGZUY01,WGS,,BCT,Firmicutes bacterium,PRJNA698986,SAMN17801191,isolate: L1_008_000M1_dasL1_008_000M1_metabat.metabat.39,"host: Homo sapiens,isolation_source: maternal feces,metagenome_source: human gut metagenome",2558498,76,2290,Yes,0,0,0,No,,,2021-05-16T00:00:00Z,2021-05-16T00:00:00Z
JAGZUZ01,WGS,,BCT,Roseburia sp.,PRJNA698986,SAMN17801192,isolate: L1_008_000M1_dasL1_008_000M1_metabat.metabat.41,"host: Homo sapiens,isolation_source: maternal feces,metagenome_source: human gut metagenome",2523643,73,2282,Yes,0,0,0,No,,,2021-05-16T00:00:00Z,2021-05-16T00:00:00Z
JAGZVA01,WGS,,BCT,Ruminococcus bicirculans,PRJNA698986,SAMN17801193,isolate: L1_008_000M1_dasL1_008_000M1_metabat.metabat.48,"host: Homo sapiens,isolation_source: maternal feces,metagenome_source: human gut metagenome",2644938,31,2403,Yes,0,0,0,No,,,2021-05-16T00:00:00Z,2021-05-16T00:00:00Z
JAGZVC01,WGS,,BCT,Clostridium sp.,PRJNA698986,SAMN17801195,isolate: L1_008_000M1_dasL1_008_000M1_metabat.metabat.6,"host: Homo sapiens,isolation_source: maternal feces,metagenome_source: human gut metagenome",1940149,5,1774,Yes,0,0,0,No,,,2021-05-16T00:00:00Z,2021-05-16T00:00:00Z
JAGZVI01,WGS,,BCT,Oscillospiraceae bacterium,PRJNA698986,SAMN17801201,isolate: L1_007_000M1_dasL1_007_000M1_concoct_30,"host: Homo sapiens,isolation_source: maternal feces,metagenome_source: human gut metagenome",2990760,81,2623,Yes,0,0,0,No,,,2021-05-16T00:00:00Z,2021-05-16T00:00:00Z
JAGZVJ01,WGS,,BCT,Megasphaera sp.,PRJNA698986,SAMN17801202,isolate: L1_007_000M1_dasL1_007_000M1_concoct_55,"host: Homo sapiens,isolation_source: maternal feces,metagenome_source: human gut metagenome",2530821,75,2320,Yes,0,0,0,No,,,2021-05-16T00:00:00Z,2021-05-16T00:00:00Z
JAGZVK01,WGS,,BCT,Coprobacillus sp.,PRJNA698986,SAMN17801203,isolate: L1_007_000M1_dasL1_007_000M1_concoct_56,"host: Homo sapiens,isolation_source: maternal feces,metagenome_source: human gut metagenome",2184875,123,2216,Yes,0,0,0,No,,,2021-05-16T00:00:00Z,2021-05-16T00:00:00Z
JAGZVL01,WGS,,BCT,Faecalibacterium prausnitzii,PRJNA698986,SAMN17801204,isolate: L1_007_000M1_dasL1_007_000M1_concoct_59,"host: Homo sapiens,isolation_source: maternal feces,metagenome_source: human gut metagenome",2661901,69,2493,Yes,0,0,0,No,,,2021-05-16T00:00:00Z,2021-05-16T00:00:00Z
JAGZVM01,WGS,,BCT,[Eubacterium] rectale,PRJNA698986,SAMN17801205,isolate: L1_007_000M1_dasL1_007_000M1_concoct_66,"host: Homo sapiens,isolation_source: maternal feces,metagenome_source: human gut metagenome",2691788,55,2397,Yes,0,0,0,No,,,2021-05-16T00:00:00Z,2021-05-16T00:00:00Z
JAGZVN01,WGS,,BCT,Eggerthella sp.,PRJNA698986,SAMN17801206,isolate: L1_007_000M1_dasL1_007_000M1_concoct_76,"host: Homo sapiens,isolation_source: maternal feces,metagenome_source: human gut metagenome",1753218,7,1482,Yes,0,0,0,No,,,2021-05-16T00:00:00Z,2021-05-16T00:00:00Z
JAGZVO01,WGS,,BCT,Ruminococcus sp.,PRJNA698986,SAMN17801207,isolate: L1_007_000M1_dasL1_007_000M1_concoct_78,"host: Homo sapiens,isolation_source: maternal feces,metagenome_source: human gut metagenome",2696194,45,2441,Yes,0,0,0,No,,,2021-05-16T00:00:00Z,2021-05-16T00:00:00Z
JAGZVP01,WGS,,BCT,Akkermansia sp.,PRJNA698986,SAMN17801208,isolate: L1_007_000M1_dasL1_007_000M1_maxbin2.maxbin.012,"host: Homo sapiens,isolation_source: maternal feces,metagenome_source: human gut metagenome",3136249,42,2622,Yes,0,0,0,No,,,2021-05-16T00:00:00Z,2021-05-16T00:00:00Z
JAGZVQ01,WGS,,BCT,Subdoligranulum variabile,PRJNA698986,SAMN17801209,isolate: L1_007_000M1_dasL1_007_000M1_maxbin2.maxbin.048,"host: Homo sapiens,isolation_source: maternal feces,metagenome_source: human gut metagenome",2398318,86,2119,Yes,0,0,0,No,,,2021-05-16T00:00:00Z,2021-05-16T00:00:00Z
JAGZVR01,WGS,,BCT,Lachnospiraceae bacterium,PRJNA698986,SAMN17801210,isolate: L1_007_000M1_dasL1_007_000M1_metabat.metabat.31,"host: Homo sapiens,isolation_source: maternal feces,metagenome_source: human gut metagenome",2687220,244,2571,Yes,0,0,0,No,,,2021-05-16T00:00:00Z,2021-05-16T00:00:00Z
JAGZVS01,WGS,,BCT,Eubacterium sp.,PRJNA698986,SAMN17801211,isolate: L1_007_000M1_dasL1_007_000M1_metabat.metabat.56,"host: Homo sapiens,isolation_source: maternal feces,metagenome_source: human gut metagenome",2886022,83,2488,Yes,0,0,0,No,,,2021-05-16T00:00:00Z,2021-05-16T00:00:00Z
JAGZVT01,WGS,,BCT,Clostridium sp.,PRJNA698986,SAMN17801212,isolate: L1_007_000M1_dasL1_007_000M1_metabat.metabat.65_sub,"host: Homo sapiens,isolation_source: maternal feces,metagenome_source: human gut metagenome",2615987,65,2198,Yes,0,0,0,No,,,2021-05-16T00:00:00Z,2021-05-16T00:00:00Z
JAGZVU01,WGS,,BCT,Butyricicoccus pullicaecorum,PRJNA698986,SAMN17801213,isolate: L1_007_000M1_dasL1_007_000M1_metabat.metabat.8_sub,"host: Homo sapiens,isolation_source: maternal feces,metagenome_source: human gut metagenome",1952613,189,1810,Yes,0,0,0,No,,,2021-05-16T00:00:00Z,2021-05-16T00:00:00Z
JAGZWD01,WGS,,BCT,Firmicutes bacterium,PRJNA698986,SAMN17801222,isolate: L1_008_000M1_dasL1_008_000M1_metabat.metabat.79,"host: Homo sapiens,isolation_source: maternal feces,metagenome_source: human gut metagenome",2064284,222,2026,Yes,0,0,0,No,,,2021-05-16T00:00:00Z,2021-05-16T00:00:00Z
JAGZWE01,WGS,,BCT,Firmicutes bacterium,PRJNA698986,SAMN17801223,isolate: L1_008_000M1_dasL1_008_000M1_metabat.metabat.85,"host: Homo sapiens,isolation_source: maternal feces,metagenome_source: human gut metagenome",2194850,36,2054,Yes,0,0,0,No,,,2021-05-16T00:00:00Z,2021-05-16T00:00:00Z
JAGZWW01,WGS,,BCT,Alistipes indistinctus,PRJNA698986,SAMN17801241,isolate: L2_019_000M1_dasL2_019_000M1_concoct_24,"host: Homo sapiens,isolation_source: maternal feces,metagenome_source: human gut metagenome",2537946,57,1962,Yes,0,0,0,No,,,2021-05-16T00:00:00Z,2021-05-16T00:00:00Z
JAGZWX01,WGS,,BCT,Clostridiales bacterium,PRJNA698986,SAMN17801242,isolate: L2_019_000M1_dasL2_019_000M1_concoct_25,"host: Homo sapiens,isolation_source: maternal feces,metagenome_source: human gut metagenome",3079154,57,2879,Yes,0,0,0,No,,,2021-05-16T00:00:00Z,2021-05-16T00:00:00Z
JAGZWY01,WGS,,BCT,Firmicutes bacterium,PRJNA698986,SAMN17801243,isolate: L2_019_000M1_dasL2_019_000M1_maxbin2.maxbin.015,"host: Homo sapiens,isolation_source: maternal feces,metagenome_source: human gut metagenome",1985755,96,1844,Yes,0,0,0,No,,,2021-05-16T00:00:00Z,2021-05-16T00:00:00Z
JAGZWZ01,WGS,,BCT,Sanguibacteroides justesenii,PRJNA698986,SAMN17801244,isolate: L2_019_000M1_dasL2_019_000M1_metabat.metabat.10,"host: Homo sapiens,isolation_source: maternal feces,metagenome_source: human gut metagenome",4197051,221,3408,Yes,0,0,0,No,,,2021-05-16T00:00:00Z,2021-05-16T00:00:00Z
JAGZXA01,WGS,,BCT,Alistipes putredinis,PRJNA698986,SAMN17801245,isolate: L2_019_000M1_dasL2_019_000M1_metabat.metabat.6,"host: Homo sapiens,isolation_source: maternal feces,metagenome_source: human gut metagenome",2102368,80,1835,Yes,0,0,0,No,,,2021-05-16T00:00:00Z,2021-05-16T00:00:00Z
JAGZYB01,WGS,,BCT,Collinsella sp.,PRJNA698986,SAMN17801272,isolate: L2_013_000M1_dasL2_013_000M1_concoct_50,"host: Homo sapiens,isolation_source: maternal feces,metagenome_source: human gut metagenome",1983256,476,1886,Yes,0,0,0,No,,,2021-05-16T00:00:00Z,2021-05-16T00:00:00Z
JAGZYC01,WGS,,BCT,Ruminococcus sp.,PRJNA698986,SAMN17801273,isolate: L2_013_000M1_dasL2_013_000M1_metabat.metabat.10_sub,"host: Homo sapiens,isolation_source: maternal feces,metagenome_source: human gut metagenome",2809768,220,2394,Yes,0,0,0,No,,,2021-05-16T00:00:00Z,2021-05-16T00:00:00Z
JAGZYD01,WGS,,BCT,Anaerotruncus sp.,PRJNA698986,SAMN17801274,isolate: L2_013_000M1_dasL2_013_000M1_metabat.metabat.5,"host: Homo sapiens,isolation_source: maternal feces,metagenome_source: human gut metagenome",1615763,91,1513,Yes,0,0,0,No,,,2021-05-16T00:00:00Z,2021-05-16T00:00:00Z
JAGZYN01,WGS,,BCT,Clostridium sp.,PRJNA698986,SAMN17801284,isolate: L3_068_000M1_dasL3_068_000M1_concoct_0_sub,"host: Homo sapiens,isolation_source: maternal feces,metagenome_source: human gut metagenome",2960788,84,2747,Yes,0,0,0,No,,,2021-05-16T00:00:00Z,2021-05-16T00:00:00Z
JAGZYO01,WGS,,BCT,Ruminococcus callidus,PRJNA698986,SAMN17801285,isolate: L3_068_000M1_dasL3_068_000M1_concoct_1,"host: Homo sapiens,isolation_source: maternal feces,metagenome_source: human gut metagenome",2646552,257,2278,Yes,0,0,0,No,,,2021-05-16T00:00:00Z,2021-05-16T00:00:00Z
JAGZYP01,WGS,,BCT,Brachyspira sp.,PRJNA698986,SAMN17801286,isolate: L3_068_000M1_dasL3_068_000M1_concoct_112,"host: Homo sapiens,isolation_source: maternal feces,metagenome_source: human gut metagenome",1971982,48,2014,Yes,0,0,0,No,,,2021-05-16T00:00:00Z,2021-05-16T00:00:00Z
JAGZYQ01,WGS,,BCT,Odoribacter splanchnicus,PRJNA698986,SAMN17801287,isolate: L3_068_000M1_dasL3_068_000M1_concoct_31,"host: Homo sapiens,isolation_source: maternal feces,metagenome_source: human gut metagenome",3875486,60,3119,Yes,0,0,0,No,,,2021-05-16T00:00:00Z,2021-05-16T00:00:00Z
JAGZYR01,WGS,,BCT,Ruminococcus sp.,PRJNA698986,SAMN17801288,isolate: L3_068_000M1_dasL3_068_000M1_concoct_9,"host: Homo sapiens,isolation_source: maternal feces,metagenome_source: human gut metagenome",2614145,149,2442,Yes,0,0,0,No,,,2021-05-16T00:00:00Z,2021-05-16T00:00:00Z
JAGZYS01,WGS,,BCT,Eubacterium sp.,PRJNA698986,SAMN17801289,isolate: L3_068_000M1_dasL3_068_000M1_concoct_94,"host: Homo sapiens,isolation_source: maternal feces,metagenome_source: human gut metagenome",3288541,104,3011,Yes,0,0,0,No,,,2021-05-16T00:00:00Z,2021-05-16T00:00:00Z
JAGZYT01,WGS,,BCT,Coprococcus sp.,PRJNA698986,SAMN17801290,isolate: L3_068_000M1_dasL3_068_000M1_concoct_98,"host: Homo sapiens,isolation_source: maternal feces,metagenome_source: human gut metagenome",2805687,33,2342,Yes,0,0,0,No,,,2021-05-16T00:00:00Z,2021-05-16T00:00:00Z
JAGZYU01,WGS,,BCT,Collinsella sp.,PRJNA698986,SAMN17801291,isolate: L3_068_000M1_dasL3_068_000M1_maxbin2.maxbin.020sta_sub,"host: Homo sapiens,isolation_source: maternal feces,metagenome_source: human gut metagenome",1631837,596,1666,Yes,0,0,0,No,,,2021-05-16T00:00:00Z,2021-05-16T00:00:00Z
