prefix_s,project_s,targeted_locus_name_s,div_s,organism_an,bioproject_s,biosample_ss,infra_name_ss,other_src_ss,contigs_total_length_l,contigs_count_l,contigs_proteins_count_l,contigs_annotated_s,scaffolds_count_l,scaffolds_proteins_count_l,scaffolds_total_length_l,scaffolds_annotated_s,scaffolds_range_ss,chromosome_range_ss,update_date_dt,create_date_dt
PJLC01,WGS,,BCT,Akkermansia muciniphila,PRJNA331216,SAMN08162529,strain: GP27,"host: Homo sapiens,isolation_source: gut microbiota",2720256,11,2297,Yes,0,0,0,No,,,2018-01-16T00:00:00Z,2018-01-16T00:00:00Z
PJLE01,WGS,,BCT,Akkermansia muciniphila,PRJNA331216,SAMN08162527,strain: GP23,"host: Homo sapiens,isolation_source: gut microbiota",2859287,10,2442,Yes,0,0,0,No,,,2018-01-16T00:00:00Z,2018-01-16T00:00:00Z
PJLF01,WGS,,BCT,Akkermansia muciniphila,PRJNA331216,SAMN08162526,strain: GP20,"host: Homo sapiens,isolation_source: gut microbiota",2820827,15,2397,Yes,0,0,0,No,,,2018-01-16T00:00:00Z,2018-01-16T00:00:00Z
PJLG01,WGS,,BCT,Akkermansia muciniphila,PRJNA331216,SAMN08162525,strain: GP19,"host: Homo sapiens,isolation_source: gut microbiota",2790954,10,2366,Yes,0,0,0,No,,,2018-01-16T00:00:00Z,2018-01-16T00:00:00Z
PJLH01,WGS,,BCT,Akkermansia muciniphila,PRJNA331216,SAMN08162524,strain: GP16,"host: Homo sapiens,isolation_source: gut microbiota",2672910,13,2238,Yes,0,0,0,No,,,2018-01-16T00:00:00Z,2018-01-16T00:00:00Z
PJLI01,WGS,,BCT,Akkermansia muciniphila,PRJNA331216,SAMN08162523,strain: GP14,"host: Homo sapiens,isolation_source: gut microbiota",2708328,17,2303,Yes,0,0,0,No,,,2018-01-16T00:00:00Z,2018-01-16T00:00:00Z
PJLL01,WGS,,BCT,Akkermansia muciniphila,PRJNA331216,SAMN08162520,strain: GP02,"host: Homo sapiens,isolation_source: gut microbiota",2679142,20,2270,Yes,0,0,0,No,,,2018-01-16T00:00:00Z,2018-01-16T00:00:00Z
NZ_PJKA01,WGS,,BCT,Akkermansia muciniphila,PRJNA224116,SAMN08162557,strain: GP24,"host: Homo sapiens,isolation_source: gut microbiota",0,0,0,No,0,0,0,No,NZ_PJKA01000001-NZ_PJKA01000014,,2021-08-01T00:00:00Z,2018-01-21T00:00:00Z
NZ_PJKB01,WGS,,BCT,Akkermansia muciniphila,PRJNA224116,SAMN08162556,strain: GP22,"host: Homo sapiens,isolation_source: gut microbiota",0,0,0,No,0,0,0,No,NZ_PJKB01000001-NZ_PJKB01000007,,2021-08-01T00:00:00Z,2018-01-21T00:00:00Z
NZ_PJKC01,WGS,,BCT,Akkermansia muciniphila,PRJNA224116,SAMN08162555,strain: GP42,"host: Homo sapiens,isolation_source: gut microbiota",0,0,0,No,0,0,0,No,NZ_PJKC01000001-NZ_PJKC01000014,,2021-08-01T00:00:00Z,2018-01-21T00:00:00Z
NZ_PJKD01,WGS,,BCT,Akkermansia muciniphila,PRJNA224116,SAMN08162554,strain: GP30,"host: Homo sapiens,isolation_source: gut microbiota",0,0,0,No,0,0,0,No,NZ_PJKD01000001-NZ_PJKD01000021,,2021-08-01T00:00:00Z,2018-01-21T00:00:00Z
NZ_PJKE01,WGS,,BCT,Akkermansia muciniphila,PRJNA224116,SAMN08162553,strain: GP25,"host: Homo sapiens,isolation_source: gut microbiota",0,0,0,No,0,0,0,No,NZ_PJKE01000001-NZ_PJKE01000023,,2021-08-01T00:00:00Z,2018-01-21T00:00:00Z
NZ_PJKF01,WGS,,BCT,Akkermansia muciniphila,PRJNA224116,SAMN08162552,strain: GP15,"host: Homo sapiens,isolation_source: gut microbiota",0,0,0,No,0,0,0,No,NZ_PJKF01000001-NZ_PJKF01000021,,2021-08-01T00:00:00Z,2018-01-21T00:00:00Z
NZ_PJKG01,WGS,,BCT,Akkermansia muciniphila,PRJNA224116,SAMN08162551,strain: GP12,"host: Homo sapiens,isolation_source: gut microbiota",0,0,0,No,0,0,0,No,NZ_PJKG01000001-NZ_PJKG01000020,,2021-08-01T00:00:00Z,2018-01-21T00:00:00Z
NZ_PJKH01,WGS,,BCT,Akkermansia muciniphila,PRJNA224116,SAMN08162550,strain: GP11,"host: Homo sapiens,isolation_source: gut microbiota",0,0,0,No,0,0,0,No,NZ_PJKH01000001-NZ_PJKH01000042,,2021-08-01T00:00:00Z,2018-01-21T00:00:00Z
NZ_PJKK01,WGS,,BCT,Akkermansia muciniphila,PRJNA224116,SAMN08162547,strain: GP07,"host: Homo sapiens,isolation_source: gut microbiota",0,0,0,No,0,0,0,No,NZ_PJKK01000001-NZ_PJKK01000015,,2021-08-01T00:00:00Z,2018-01-21T00:00:00Z
NZ_PJKL01,WGS,,BCT,Akkermansia muciniphila,PRJNA224116,SAMN08162546,strain: BSH05,"host: Homo sapiens,isolation_source: gut microbiota",0,0,0,No,0,0,0,No,NZ_PJKL01000001-NZ_PJKL01000023,,2021-08-01T00:00:00Z,2018-01-21T00:00:00Z
NZ_PJKM01,WGS,,BCT,Akkermansia muciniphila,PRJNA224116,SAMN08162545,strain: BSH01,"host: Homo sapiens,isolation_source: gut microbiota",0,0,0,No,0,0,0,No,NZ_PJKM01000001-NZ_PJKM01000016,,2021-08-01T00:00:00Z,2018-01-21T00:00:00Z
NZ_PJKN01,WGS,,BCT,Akkermansia muciniphila,PRJNA224116,SAMN08162544,strain: GP43,"host: Homo sapiens,isolation_source: gut microbiota",0,0,0,No,0,0,0,No,NZ_PJKN01000001-NZ_PJKN01000011,,2021-08-01T00:00:00Z,2018-01-21T00:00:00Z
NZ_PJKO01,WGS,,BCT,Akkermansia muciniphila,PRJNA224116,SAMN08162543,strain: GP41,"host: Homo sapiens,isolation_source: gut microbiota",0,0,0,No,0,0,0,No,NZ_PJKO01000001-NZ_PJKO01000014,,2021-08-01T00:00:00Z,2018-01-21T00:00:00Z
NZ_PJKP01,WGS,,BCT,Akkermansia muciniphila,PRJNA224116,SAMN08162542,strain: GP39,"host: Homo sapiens,isolation_source: gut microbiota",0,0,0,No,0,0,0,No,NZ_PJKP01000001-NZ_PJKP01000023,,2021-08-01T00:00:00Z,2018-01-21T00:00:00Z
NZ_PJKQ01,WGS,,BCT,Akkermansia muciniphila,PRJNA224116,SAMN08162541,strain: GP38,"host: Homo sapiens,isolation_source: gut microbiota",0,0,0,No,0,0,0,No,NZ_PJKQ01000001-NZ_PJKQ01000018,,2021-08-01T00:00:00Z,2018-01-21T00:00:00Z
NZ_PJKR01,WGS,,BCT,Akkermansia muciniphila,PRJNA224116,SAMN08162540,strain: GP36,"host: Homo sapiens,isolation_source: gut microbiota",0,0,0,No,0,0,0,No,NZ_PJKR01000001-NZ_PJKR01000011,,2021-08-01T00:00:00Z,2018-01-21T00:00:00Z
NZ_PJKS01,WGS,,BCT,Akkermansia muciniphila,PRJNA224116,SAMN08162539,strain: GP29,"host: Homo sapiens,isolation_source: gut microbiota",0,0,0,No,0,0,0,No,NZ_PJKS01000001-NZ_PJKS01000020,,2021-08-01T00:00:00Z,2018-01-21T00:00:00Z
NZ_PJKT01,WGS,,BCT,Akkermansia muciniphila,PRJNA224116,SAMN08162538,strain: GP21,"host: Homo sapiens,isolation_source: gut microbiota",0,0,0,No,0,0,0,No,NZ_PJKT01000001-NZ_PJKT01000018,,2021-08-01T00:00:00Z,2018-01-21T00:00:00Z
NZ_PJKU01,WGS,,BCT,Akkermansia muciniphila,PRJNA224116,SAMN08162537,strain: GP06,"host: Homo sapiens,isolation_source: gut microbiota",0,0,0,No,0,0,0,No,NZ_PJKU01000001-NZ_PJKU01000019,,2021-08-01T00:00:00Z,2018-01-21T00:00:00Z
NZ_PJKV01,WGS,,BCT,Akkermansia muciniphila,PRJNA224116,SAMN08162536,strain: GP05,"host: Homo sapiens,isolation_source: gut microbiota",0,0,0,No,0,0,0,No,NZ_PJKV01000001-NZ_PJKV01000011,,2021-08-01T00:00:00Z,2018-01-21T00:00:00Z
NZ_PJKW01,WGS,,BCT,Akkermansia muciniphila,PRJNA224116,SAMN08162535,strain: GP04,"host: Homo sapiens,isolation_source: gut microbiota",0,0,0,No,0,0,0,No,NZ_PJKW01000001-NZ_PJKW01000022,,2021-08-01T00:00:00Z,2018-01-21T00:00:00Z
NZ_PJKX01,WGS,,BCT,Akkermansia muciniphila,PRJNA224116,SAMN08162534,strain: GP03,"host: Homo sapiens,isolation_source: gut microbiota",0,0,0,No,0,0,0,No,NZ_PJKX01000001-NZ_PJKX01000019,,2021-08-01T00:00:00Z,2018-01-21T00:00:00Z
NZ_PJKY01,WGS,,BCT,Akkermansia muciniphila,PRJNA224116,SAMN08162533,strain: GP01,"host: Homo sapiens,isolation_source: gut microbiota",0,0,0,No,0,0,0,No,NZ_PJKY01000001-NZ_PJKY01000001,,2021-08-01T00:00:00Z,2018-01-21T00:00:00Z
NZ_PJKZ01,WGS,,BCT,Akkermansia muciniphila,PRJNA224116,SAMN08162532,strain: GP40,"host: Homo sapiens,isolation_source: gut microbiota",0,0,0,No,0,0,0,No,NZ_PJKZ01000001-NZ_PJKZ01000012,,2021-08-01T00:00:00Z,2018-01-21T00:00:00Z
NZ_PJLA01,WGS,,BCT,Akkermansia muciniphila,PRJNA224116,SAMN08162531,strain: GP35,"host: Homo sapiens,isolation_source: gut microbiota",0,0,0,No,0,0,0,No,NZ_PJLA01000001-NZ_PJLA01000014,,2021-08-01T00:00:00Z,2018-01-21T00:00:00Z
NZ_PJLB01,WGS,,BCT,Akkermansia muciniphila,PRJNA224116,SAMN08162530,strain: GP28,"host: Homo sapiens,isolation_source: gut microbiota",0,0,0,No,0,0,0,No,NZ_PJLB01000001-NZ_PJLB01000013,,2021-08-01T00:00:00Z,2018-01-21T00:00:00Z
NZ_PJLC01,WGS,,BCT,Akkermansia muciniphila,PRJNA224116,SAMN08162529,strain: GP27,"host: Homo sapiens,isolation_source: gut microbiota",0,0,0,No,0,0,0,No,NZ_PJLC01000001-NZ_PJLC01000011,,2021-08-01T00:00:00Z,2018-01-21T00:00:00Z
NZ_PJLE01,WGS,,BCT,Akkermansia muciniphila,PRJNA224116,SAMN08162527,strain: GP23,"host: Homo sapiens,isolation_source: gut microbiota",0,0,0,No,0,0,0,No,NZ_PJLE01000001-NZ_PJLE01000010,,2021-08-01T00:00:00Z,2018-01-21T00:00:00Z
NZ_PJLF01,WGS,,BCT,Akkermansia muciniphila,PRJNA224116,SAMN08162526,strain: GP20,"host: Homo sapiens,isolation_source: gut microbiota",0,0,0,No,0,0,0,No,NZ_PJLF01000001-NZ_PJLF01000015,,2021-08-01T00:00:00Z,2018-01-21T00:00:00Z
NZ_PJLG01,WGS,,BCT,Akkermansia muciniphila,PRJNA224116,SAMN08162525,strain: GP19,"host: Homo sapiens,isolation_source: gut microbiota",0,0,0,No,0,0,0,No,NZ_PJLG01000001-NZ_PJLG01000010,,2021-08-01T00:00:00Z,2018-01-21T00:00:00Z
NZ_PJLH01,WGS,,BCT,Akkermansia muciniphila,PRJNA224116,SAMN08162524,strain: GP16,"host: Homo sapiens,isolation_source: gut microbiota",0,0,0,No,0,0,0,No,NZ_PJLH01000001-NZ_PJLH01000013,,2022-01-05T00:00:00Z,2018-01-21T00:00:00Z
NZ_PJLI01,WGS,,BCT,Akkermansia muciniphila,PRJNA224116,SAMN08162523,strain: GP14,"host: Homo sapiens,isolation_source: gut microbiota",0,0,0,No,0,0,0,No,NZ_PJLI01000001-NZ_PJLI01000017,,2021-08-01T00:00:00Z,2018-01-21T00:00:00Z
NZ_PJLL01,WGS,,BCT,Akkermansia muciniphila,PRJNA224116,SAMN08162520,strain: GP02,"host: Homo sapiens,isolation_source: gut microbiota",0,0,0,No,0,0,0,No,NZ_PJLL01000001-NZ_PJLL01000020,,2021-08-01T00:00:00Z,2018-01-21T00:00:00Z
PKUU01,WGS,,BCT,Clostridium sp. chh4-2,PRJNA428016,SAMN08279499,strain: chh4-2,"host: Homo sapiens,isolation_source: gut",6089737,61,5194,Yes,0,0,0,No,,,2018-02-08T00:00:00Z,2018-01-25T00:00:00Z
NZ_NPIM01,WGS,,BCT,Escherichia coli,PRJNA224116,SAMN07436526,strain: CCPM 6219,"host: Homo sapiens,isolation_source: gut",0,0,0,No,0,0,0,No,NZ_NPIM01000001-NZ_NPIM01000165,,2021-05-27T00:00:00Z,2019-01-12T00:00:00Z
NZ_NPIN01,WGS,,BCT,Escherichia coli,PRJNA224116,SAMN07436527,strain: CCPM 6220,"host: Homo sapiens,isolation_source: gut",0,0,0,No,0,0,0,No,NZ_NPIN01000001-NZ_NPIN01000131,,2021-06-12T00:00:00Z,2019-01-12T00:00:00Z
NZ_NPIO01,WGS,,BCT,Escherichia coli,PRJNA224116,SAMN07436601,strain: BAMA 0321,"host: Homo sapiens,isolation_source: gut",0,0,0,No,0,0,0,No,NZ_NPIO01000001-NZ_NPIO01000129,,2021-06-11T00:00:00Z,2019-01-12T00:00:00Z
NZ_NPIP01,WGS,,BCT,Escherichia coli,PRJNA224116,SAMN07436678,strain: BAMA 0315,"host: Homo sapiens,isolation_source: gut",0,0,0,No,0,0,0,No,NZ_NPIP01000001-NZ_NPIP01000117,,2021-06-09T00:00:00Z,2019-01-12T00:00:00Z
NZ_NPIQ01,WGS,,BCT,Escherichia coli,PRJNA224116,SAMN07436679,strain: BAMA 0374,"host: Homo sapiens,isolation_source: gut",0,0,0,No,0,0,0,No,NZ_NPIQ01000001-NZ_NPIQ01000113,,2021-05-27T00:00:00Z,2019-01-12T00:00:00Z
NZ_NPIR01,WGS,,BCT,Escherichia coli,PRJNA224116,SAMN07437093,strain: BAMA 0361,"host: Homo sapiens,isolation_source: gut",0,0,0,No,0,0,0,No,NZ_NPIR01000001-NZ_NPIR01000113,,2021-05-27T00:00:00Z,2019-01-12T00:00:00Z
NZ_NPIS01,WGS,,BCT,Escherichia coli,PRJNA224116,SAMN07437103,strain: BAMA 0397,"host: Homo sapiens,isolation_source: gut",0,0,0,No,0,0,0,No,NZ_NPIS01000001-NZ_NPIS01000117,,2021-06-09T00:00:00Z,2019-01-12T00:00:00Z
NZ_NQIN01,WGS,,BCT,Escherichia coli,PRJNA224116,SAMN07430746,strain: CCPM 6195,"host: Homo sapiens,isolation_source: gut",0,0,0,No,0,0,0,No,NZ_NQIN01000001-NZ_NQIN01000153,,2021-06-09T00:00:00Z,2019-01-12T00:00:00Z
NZ_NQIO01,WGS,,BCT,Escherichia coli,PRJNA224116,SAMN07430905,strain: CCPM 6201,"host: Homo sapiens,isolation_source: gut",0,0,0,No,0,0,0,No,NZ_NQIO01000001-NZ_NQIO01000154,,2021-06-11T00:00:00Z,2019-01-12T00:00:00Z
NZ_NQIP01,WGS,,BCT,Escherichia coli,PRJNA224116,SAMN07430916,strain: CCPM 6207,"host: Homo sapiens,isolation_source: gut",0,0,0,No,0,0,0,No,NZ_NQIP01000001-NZ_NQIP01000150,,2021-05-27T00:00:00Z,2019-01-12T00:00:00Z
NZ_RQTL01,WGS,,BCT,Escherichia coli,PRJNA224116,SAMN10476545,strain: GBGD19,"host: Homo sapiens,isolation_source: Gut",0,0,0,No,0,0,0,No,NZ_RQTL01000001-NZ_RQTL01000116,,2021-06-12T00:00:00Z,2018-12-05T00:00:00Z
NZ_RQTM01,WGS,,BCT,Escherichia coli,PRJNA224116,SAMN10476546,strain: GBGD20,"host: Homo sapiens,isolation_source: Gut",0,0,0,No,0,0,0,No,NZ_RQTM01000001-NZ_RQTM01000091,,2021-05-26T00:00:00Z,2018-12-05T00:00:00Z
NZ_RQTN01,WGS,,BCT,Escherichia coli,PRJNA224116,SAMN10476547,strain: GBGD21,"host: Homo sapiens,isolation_source: Gut",0,0,0,No,0,0,0,No,NZ_RQTN01000001-NZ_RQTN01000109,,2021-06-12T00:00:00Z,2018-12-05T00:00:00Z
NZ_RQTO01,WGS,,BCT,Escherichia coli,PRJNA224116,SAMN10476548,strain: GBGD22,"host: Homo sapiens,isolation_source: Gut",0,0,0,No,0,0,0,No,NZ_RQTO01000001-NZ_RQTO01000077,,2021-05-26T00:00:00Z,2018-12-05T00:00:00Z
NZ_RQTP01,WGS,,BCT,Escherichia coli,PRJNA224116,SAMN10476549,strain: GBGD23,"host: Homo sapiens,isolation_source: Gut",0,0,0,No,0,0,0,No,NZ_RQTP01000001-NZ_RQTP01000100,,2021-05-26T00:00:00Z,2018-12-05T00:00:00Z
NZ_RQTQ01,WGS,,BCT,Escherichia coli,PRJNA224116,SAMN10476550,strain: GBGD24,"host: Homo sapiens,isolation_source: Gut",0,0,0,No,0,0,0,No,NZ_RQTQ01000001-NZ_RQTQ01000095,,2021-05-26T00:00:00Z,2018-12-05T00:00:00Z
NZ_RQTR01,WGS,,BCT,Escherichia coli,PRJNA224116,SAMN10476551,strain: GBGD25,"host: Homo sapiens,isolation_source: Gut",0,0,0,No,0,0,0,No,NZ_RQTR01000001-NZ_RQTR01000352,,2021-06-12T00:00:00Z,2018-12-05T00:00:00Z
NZ_RQTS01,WGS,,BCT,Escherichia coli,PRJNA224116,SAMN10476552,strain: GBGD26,"host: Homo sapiens,isolation_source: Gut",0,0,0,No,0,0,0,No,NZ_RQTS01000001-NZ_RQTS01000702,,2021-06-09T00:00:00Z,2018-12-05T00:00:00Z
NZ_RQTT01,WGS,,BCT,Escherichia coli,PRJNA224116,SAMN10476553,strain: GBGD27,"host: Homo sapiens,isolation_source: Gut",0,0,0,No,0,0,0,No,NZ_RQTT01000001-NZ_RQTT01000291,,2021-06-12T00:00:00Z,2018-12-05T00:00:00Z
NZ_RQTU01,WGS,,BCT,Escherichia coli,PRJNA224116,SAMN10476554,strain: GBGD28,"host: Homo sapiens,isolation_source: Gut",0,0,0,No,0,0,0,No,NZ_RQTU01000001-NZ_RQTU01001314,,2021-06-09T00:00:00Z,2018-12-07T00:00:00Z
NZ_RQTV01,WGS,,BCT,Escherichia coli,PRJNA224116,SAMN10476555,strain: GBGD29,"host: Homo sapiens,isolation_source: Gut",0,0,0,No,0,0,0,No,NZ_RQTV01000001-NZ_RQTV01000276,,2021-06-12T00:00:00Z,2018-12-05T00:00:00Z
NZ_RQTW01,WGS,,BCT,Escherichia coli,PRJNA224116,SAMN10476556,strain: GBGD30,"host: Homo sapiens,isolation_source: Gut",0,0,0,No,0,0,0,No,NZ_RQTW01000001-NZ_RQTW01000514,,2021-06-12T00:00:00Z,2018-12-05T00:00:00Z
NZ_RQTX01,WGS,,BCT,Escherichia coli,PRJNA224116,SAMN10476557,strain: GBGD31,"host: Homo sapiens,isolation_source: Gut",0,0,0,No,0,0,0,No,NZ_RQTX01000001-NZ_RQTX01000427,,2021-05-26T00:00:00Z,2018-12-05T00:00:00Z
NZ_RQTY01,WGS,,BCT,Escherichia coli,PRJNA224116,SAMN10476558,strain: GBGD32,"host: Homo sapiens,isolation_source: Gut",0,0,0,No,0,0,0,No,NZ_RQTY01000001-NZ_RQTY01000124,,2021-06-12T00:00:00Z,2018-12-05T00:00:00Z
NZ_RQTZ01,WGS,,BCT,Escherichia coli,PRJNA224116,SAMN10476559,strain: GBGD33,"host: Homo sapiens,isolation_source: Gut",0,0,0,No,0,0,0,No,NZ_RQTZ01000001-NZ_RQTZ01000836,,2021-06-09T00:00:00Z,2018-12-05T00:00:00Z
NZ_RQUA01,WGS,,BCT,Klebsiella pneumoniae,PRJNA224116,SAMN10476560,strain: GBGD34,"host: Homo sapiens,isolation_source: Gut",0,0,0,No,0,0,0,No,NZ_RQUA01000001-NZ_RQUA01000086,,2021-08-24T00:00:00Z,2018-12-05T00:00:00Z
NZ_RQUB01,WGS,,BCT,Escherichia coli,PRJNA224116,SAMN10476561,strain: GBGD35,"host: Homo sapiens,isolation_source: Gut",0,0,0,No,0,0,0,No,NZ_RQUB01000001-NZ_RQUB01000367,,2021-06-12T00:00:00Z,2018-12-05T00:00:00Z
NZ_RQUC01,WGS,,BCT,Escherichia coli,PRJNA224116,SAMN10476562,strain: GBGD36,"host: Homo sapiens,isolation_source: Gut",0,0,0,No,0,0,0,No,NZ_RQUC01000001-NZ_RQUC01000378,,2021-06-11T00:00:00Z,2018-12-05T00:00:00Z
NZ_RQUD01,WGS,,BCT,Escherichia coli,PRJNA224116,SAMN10476563,strain: GBGD37,"host: Homo sapiens,isolation_source: Gut",0,0,0,No,0,0,0,No,NZ_RQUD01000001-NZ_RQUD01000336,,2021-05-26T00:00:00Z,2018-12-05T00:00:00Z
NZ_RQUE01,WGS,,BCT,Escherichia coli,PRJNA224116,SAMN10476564,strain: GBGD38,"host: Homo sapiens,isolation_source: Gut",0,0,0,No,0,0,0,No,NZ_RQUE01000001-NZ_RQUE01000137,,2021-06-12T00:00:00Z,2018-12-05T00:00:00Z
